Representing images in text format is challenging, especially complex shapes like a skull. However, here's an oversimplified demonstration of what it might look like in a 10x10 pixel matrix using a binary color scheme where 0,0,0 represents black and 255,255,255 represents white.

[ (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) ]
[ (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) (0, 0, 0) (0, 0, 0) (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) ]
[ (255, 255, 255) (255, 255, 255) (0, 0, 0) (0, 0, 0) (255, 255, 255) (255, 255, 255) (0, 0, 0) (0, 0, 0) (255, 255, 255) (255, 255, 255) ]
[ (255, 255, 255) (255, 255, 255) (0, 0, 0) (0, 0, 0) (255, 255, 255) (255, 255, 255) (0, 0, 0) (0, 0, 0) (255, 255, 255) (255, 255, 255) ]
[ (255, 255, 255) (255, 255, 255) (255, 255, 255) (0, 0, 0) (0, 0, 0) (0, 0, 0) (0, 0, 0) (255, 255, 255) (255, 255, 255) (255, 255, 255) ]
[ (255, 255, 255) (255, 255, 255) (0, 0, 0) (0, 0, 0) (0, 0, 0) (0, 0, 0) (0, 0, 0) (0, 0, 0) (255, 255, 255) (255, 255, 255) ]
[ (255, 255, 255) (0, 0, 0) (0, 0, 0) (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) (0, 0, 0) (0, 0, 0) (255, 255, 255) ]
[ (255, 255, 255) (0, 0, 0) (0, 0, 0) (0, 0, 0) (255, 255, 255) (255, 255, 255) (0, 0, 0) (0, 0, 0) (0, 0, 0) (255, 255, 255) ]
[ (255, 255, 255) (255, 255, 255) (0, 0, 0) (0, 0, 0) (0, 0, 0) (0, 0, 0) (0, 0, 0) (0, 0, 0) (255, 255, 255) (255, 255, 255) ]
[ (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) (255, 255, 255) ]

In this 10x10 pixel image, we have created a very basic skull design. The eyes and the mouth of the skull are represented by black pixels, while the remaining of the image is white. However, this is an extremely simplified representation. Real-world images, especially complex shapes like skulls, have millions of pixels and contain a wide range of colors and tones.
